step,R_CC,gap_eV,f_seam_norm,cos_phi,e_p,e_q,gx_H0,gy_H0,gz_H0,gx_H1,gy_H1,gz_H1,gx_H2,gy_H2,gz_H2,gx_H3,gy_H3,gz_H3,gx_C4,gy_C4,gz_C4,gx_C5,gy_C5,gz_C5,hx_H0,hy_H0,hz_H0,hx_H1,hy_H1,hz_H1,hx_H2,hy_H2,hz_H2,hx_H3,hy_H3,hz_H3,hx_C4,hy_C4,hz_C4,hx_C5,hy_C5,hz_C5
0,1.3248274392865422,2.964827552622751e-06,0.006759621344061754,0.0994404431876498,-77.26722737733395,-77.2672272683786,-0.04373917669741029,-0.010194265138140826,0.037881593246461114,-0.009161268461462285,-0.0014459334099506359,-0.0015174897932115489,-0.016646173642206608,0.01934232400470573,0.028795970313233332,-0.02048644374216177,0.003619864027835165,0.0033855553400834737,0.01263563248910926,-0.035899022537696154,-0.08517503531093645,0.07739743005415844,0.024577033053255155,0.01662940620437734,0.0004346499270031501,0.017001426592891278,-0.04519352890649653,0.009489497185300788,0.037956712959034994,0.0010827745416608359,-0.017437614296360815,0.0058491081901717035,0.03585701253430251,-0.009457961143082283,-0.04778680696967971,0.0017747722912471176,0.019896220139878018,-0.016382915213139282,-0.011288262990415632,-0.002924791812741745,0.0033624744407221747,0.017767232529700916
1,1.3248314396125411,8.845115339889275e-06,0.006758701237087969,0.2769357084683139,-77.26723179664985,-77.26723147159802,0.033717231001766934,-0.013152931084647643,0.02650928035726988,-0.004622524055502675,-0.046061433293186876,-0.00015384259560435876,0.03471024869049205,-0.02242760641456626,-0.06714228493030043,0.027804331652408726,0.05657714459389718,-0.004860866614287987,-0.034624224832934924,0.04848462475756572,0.08075296637122487,-0.05698506245623958,-0.023419798559064606,-0.035105252588286076,-0.013931872932274492,-0.016484331718320977,0.047174136202478345,-0.010278337546784089,-0.030177305464610615,-0.001317501847378555,0.008481553942209397,0.0014281408022858155,-0.019134556873504627,0.001039143193358627,0.03855659760061553,-0.00033751405276283286,-0.011659691901353852,0.0016798622934939278,-0.017635934672121323,0.026349205244843965,0.004997036486536608,-0.008748628756711452
2,1.3248354011315622,6.115097705927042e-06,0.006757793213989218,0.15558918544788192,-77.267236066556,-77.26723584183041,0.04336001156735586,0.006358881344426026,-0.027640666159643862,0.006995730417190926,-0.006989369358421961,0.0012694798774116056,0.020401397618629497,-0.020522768981962522,-0.03658065777078951,0.022457357326795685,0.0069948793593596886,-0.003762989891548968,-0.016946312970650634,0.03929187167631294,0.0871617029234204,-0.07626818395933155,-0.025133494039704392,-0.020446868978856537,-0.0028513043662212745,-0.01745931995223593,0.04701023957915329,-0.009935045400718767,-0.03779841000556877,-0.0011543556191895288,0.016397453004326046,-0.004747481292240785,-0.034040262363705165,0.008260752128963933,0.04769309957105211,-0.0015768461034599834,-0.01907216818564894,0.014299655307277281,0.006492446679045916,0.007200312819295895,-0.001987543628282842,-0.016731222171843085
3,1.3248392227429595,4.618677948496952e-06,0.006756870599671405,0.2272261575074964,-77.2672403364948,-77.2672401667616,0.013368347625829669,0.03549013023970354,-0.0974470468339595,0.02079750423075641,0.07311813766671946,0.0024931216738414558,-0.028602647462273728,0.005672884684897489,0.060429169786771486,-0.012229934656539071,-0.09259238805556216,0.002429273315133096,0.0344937528633209,-0.021110205446309992,0.002838347937696925,-0.027827022601072615,-0.0005785590894571771,0.029257134120502307,0.020816330688432805,1.2880930049252726e-06,-0.005182829786475329,0.001661448067100224,-0.01020859626445303,0.00041865392047579775,0.012968996539329813,-0.010946947171638355,-0.024093012547241277,0.012526122564162856,0.011980264208962949,-0.0021347052226834418,-0.011745449098332195,0.021885242401876503,0.044040799636913874,-0.03622744876069284,-0.012711251267751623,-0.01304890600099018
4,1.3248430534021605,1.5610275875047819e-06,0.006756000562598662,0.1385805844495556,-77.26724459037115,-77.26724453300447,0.040139931112634475,0.023349328662705296,-0.07192223986523737,0.016181521582339264,0.03272347485104893,0.0022684299774591715,0.0007166112425906201,-0.012753441052168468,0.003464787596281764,0.010821854493955063,-0.04287579216084966,-0.0016186588620262232,0.005012850410297753,0.019062051410434728,0.06820648983153861,-0.07287276884179805,-0.019505621711184105,-0.0003988086780295358,0.008662359865667546,-0.01336207682904722,0.03327942498351588,-0.006737084125950421,-0.034247927046146265,-0.0006606428897140137,0.01929733367672326,-0.009341528428799872,-0.03860723072712957,0.012844937309806959,0.04274681852291287,-0.002320147245894466,-0.02071263499199194,0.02234872214313033,0.027905735239807328,-0.013354911734257513,-0.008144008362049364,-0.019597139360585603
5,1.324846900579024,1.5474243515740227e-06,0.006755155731536732,0.11214398679532146,-77.26724889243069,-77.26724883556392,-0.015222058692781426,0.0278973122757048,-0.07019104157836087,0.014292828914484523,0.07009880151508774,0.001431602459660536,-0.03849477925688122,0.018003192806711366,0.07729339145651479,-0.02509150329985571,-0.0876008616679211,0.004551877122775688,0.04162257554679605,-0.04365148546476412,-0.052198138298496954,0.022892936788225793,0.015253040535197687,0.03911230883789028,-0.020488015838822093,-0.010965061928063458,0.03418937825351065,-0.00772866285972551,-0.014560926107607508,-0.001097404207180297,-0.0013586491639538956,0.0068515582421369015,0.00027390994181331063,-0.006070333323655253,0.019193744106922164,0.0009294247642530618,-0.0014341358762068879,-0.010671111704156133,-0.03550716672176746,0.03707979706236042,0.010151797390768501,0.001211857969369623
6,1.324850782732601,1.3711039390670976e-06,0.006754334960079319,0.1295695977121684,-77.26725320693573,-77.26725315654862,-0.016598364002736066,0.027139523725201342,-0.06783493307758216,0.013760803385285875,0.06907405116939846,0.0013512988671406934,-0.038553627955726144,0.018461996412541842,0.0772710754172731,-0.025484442764642984,-0.08625404174274606,0.004613921878452026,0.041494652102259,-0.044349334496318074,-0.0545641651876462,0.02538097923554261,0.01592780493191702,0.03916280210237047,0.0202152275721329,0.011428594216342125,-0.0353567022305491,0.007963584702664672,0.01573278680941881,0.0011198013443001198,0.0007085531585855342,-0.006542696224586253,0.0010288035771299775,0.005644058252119444,-0.020662516976732936,-0.0008529151717826533,0.0021407696980588753,0.009922277997931994,0.034608724257423784,-0.03667219338356187,-0.009878445822373908,-0.0005477117765233519
7,1.3248547261866688,3.2990136379822845e-06,0.006753509493534496,0.11127136796843981,-77.26725754692356,-77.2672574256871,-0.015154411228095022,0.027932287862463573,-0.07029522887665636,0.014315398868305018,0.07014583474244836,0.0014244952071730543,-0.03846829074685529,0.01799231317339081,0.07729848927065137,-0.025064893555048068,-0.08766600243275145,0.004552258407949955,0.04161401891769345,-0.043619423633696086,-0.052070471956025974,0.02275817774400246,0.015214990288154734,0.03909045794690642,-0.020492995494253763,-0.01093853139994505,0.03413234054907133,-0.007712393724344402,-0.014493650197608177,-0.0010940950180615694,-0.0013927745418600423,0.006865347526743948,0.00034575747384846256,-0.0060935878796553045,0.019119344757634896,0.0009351452066432842,-0.0014077112151298365,-0.010697466012492107,-0.035558402472799955,0.03709946285524701,0.010144955325667011,0.0012392542612975621
8,1.3248585810099365,4.688817482761465e-06,0.006752728513110128,0.12487704018660513,-77.26726188893954,-77.26726171662877,-0.016224349394663495,0.027348277483094485,-0.06847569133086776,0.013904436165616818,0.06936099541919563,0.0013612582241421534,-0.03851723568271584,0.01835227837213879,0.07729332621010492,-0.025372888682709288,-0.08663352740281638,0.004601538063175925,0.04151876941396959,-0.04416714909116278,-0.053913554158047036,0.02469126818053957,0.01573912521956805,0.03913312299147381,-0.020283392447466575,-0.011299490393232414,0.03504328076274321,-0.007895311942776706,-0.015404240486244225,-0.001111280746252774,-0.0008889044360529397,0.0066263485749371576,-0.0006645288858021514,-0.00576396499778431,0.020261901610444555,0.0008760660959450384,-0.0019571279909404993,-0.01011669580927299,-0.03486717765856806,0.036788701815017255,0.009932176503368292,0.0007236404319345136
9,1.3248624675449059,5.143468656154937e-06,0.006752000034995624,0.2287799020618195,-77.26726622221803,-77.26726603319914,0.03534908155415406,0.028606234031739036,-0.08472506308118255,0.018711033648290687,0.046851663771554086,0.002484819810507785,-0.007706514135136511,-0.008350685209317824,0.02021586524017424,0.004964519526408279,-0.06050953877890581,-0.000572905613380234,0.013971372340516819,0.008787921130756798,0.05441191548468667,-0.06528949293422626,-0.015385594945842664,0.008185368159191513,-0.012832716334624794,0.01048972418546179,-0.024608158953827952,0.0048062547251130905,0.029851337359401958,0.0003853903670685277,-0.018884648034619644,0.010522443758937738,0.03730894120462158,-0.013710721167915385,-0.03703428785050747,0.0024464022450998435,0.01964328505760715,-0.023888457694346887,-0.0346753033259497,0.020978545754441136,0.010059240241051662,0.019142728462990366
